user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x315032343,x1548547511668936705,17/07/2022 05:57,njogukennly,Eight R Tidyverse tips for everyday data engineering by @tomaz_tsql https://t.co/z7Dw7agsfi #rstats #Tidyverse… https://t.co/OvcAkHMpUU,Twitter for Android,,,,,FALSE,TRUE,0,38,,,rstats Tidyverse rTidyverse,,link.medium.com/dxouESZKHrb,https://t.co/z7Dw7agsfi,https://link.medium.com/dxouESZKHrb,,,,,,,,,x1494752996412084227 x379167308,rmarkdown tomaz_tsql,en,,,,,,,,,,,,,,,,x1548218434013450242,Eight R Tidyverse tips for everyday data engineering by @tomaz_tsql https://t.co/z7Dw7agsfi #rstats #Tidyverse… https://t.co/OvcAkHMpUU,16/07/2022 08:10,Twitter Web App,140,38,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1548547511668936705,Ken Njogu,Africa,I tell stories using data | data analyst @WFP | #humanitarian | #socialenterprises | #gamedrives | #globetrotting,,FALSE,516,98,9,3243,600,11/06/2011 05:50,FALSE,,,,https://pbs.twimg.com/profile_banners/315032343/1607592632,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1537373010746822656/ENx1O2li_normal.jpg
x2819948848,x1550797583924199424,23/07/2022 10:58,kioko_genius,10 #RStats packages to help you build some nicely formatted tables - that look good AND effectively communicate res… https://t.co/kfv2UiOeEV,Twitter for Android,,,,,FALSE,TRUE,0,211,,,RStats,,,,,,,,,,,,,x208301555,annapurani93,en,,,,,,,,,,,,,,,,x1550326488129449985,10 #RStats packages to help you build some nicely formatted tables - that look good AND effectively communicate res… https://t.co/kfv2UiOeEV,22/07/2022 03:46,Twitter for Android,907,211,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1550797583924199424,moses kioko,Africa,"Data analyst acquainted with skills in Designing Data Collection tools(surveyCTO,ODK,CommCare), Data Analysis(R, Python,STATA, SPSS, Ms Excel) and an M&E Expert",https://t.co/rAGVPXF78P,FALSE,161,1131,0,690,855,09/10/2014 16:29,FALSE,https://t.co/rAGVPXF78P,https://moseskitikukioko.github.io/,,https://pbs.twimg.com/profile_banners/2819948848/1578424923,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1152153868840722432/gv_e9vTU_normal.jpg
x18346331,x1548346772354846724,16/07/2022 16:40,carolinabento,On this day in 1969 - Apollo 11 launched to the Moon! https://t.co/uVtOpfI1mk,Twitter for iPhone,,,,,FALSE,TRUE,0,3569,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1548292583129899010/pu/img/dH47ojyk-8uqit-l.jpg,https://t.co/uVtOpfI1mk,https://twitter.com/Cmdr_Hadfield/status/1548293717529808900/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1548292583129899010/pu/img/dH47ojyk-8uqit-l.jpg,https://t.co/uVtOpfI1mk,https://twitter.com/Cmdr_Hadfield/status/1548293717529808900/video/1,,x186154646,Cmdr_Hadfield,en,,,,,,,,,,,,,,,,x1548293717529808900,On this day in 1969 - Apollo 11 launched to the Moon! https://t.co/uVtOpfI1mk,16/07/2022 13:09,Twitter Web App,19655,3569,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1548346772354846724,Carolina Bento,America,Data Science and Machine Learning | Bookworm | co-founder @confeurhq | prev Data @geteero @pandora_radio,https://t.co/mAwSj7PKG0,FALSE,716,194,28,6839,15734,24/12/2008 00:33,FALSE,https://t.co/mAwSj7PKG0,https://carolinabento.medium.com,,https://pbs.twimg.com/profile_banners/18346331/1591473036,http://abs.twimg.com/images/themes/theme6/bg.gif,http://pbs.twimg.com/profile_images/1291230647365668864/qoFzpgh7_normal.jpg
x1307686683152977920,x1551867109965193218,26/07/2022 09:48,PyScaleLLC,"The brain imaging data came from scans using functional magnetic resonance imaging (fMRI), which measures dynamic b… https://t.co/zLrES3FLEK",PyScale,,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,x1351807529106370563,Indianext_media,en,,,,,,,,,,,,,,,,x1551862736379940864,"The brain imaging data came from scans using functional magnetic resonance imaging (fMRI), which measures dynamic b… https://t.co/zLrES3FLEK",26/07/2022 09:31,Hootsuite Inc.,2,1,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551867109965193218,PyScale,America,"Polyglot technologist. PyScale focuses on developing scalable, solutions in the cloud. Retweets do not represent my views. link - https://t.co/KeYGCi3bOi",https://t.co/PvMEo9QYYH,FALSE,3172,211,47,321660,386,20/09/2020 14:23,FALSE,https://t.co/PvMEo9QYYH,https://linktr.ee/pyscale,,https://pbs.twimg.com/profile_banners/1307686683152977920/1611194432,,http://pbs.twimg.com/profile_images/1352073557413654528/t5dsY7YZ_normal.jpg
x1051649960,x1551862270157799425,26/07/2022 09:29,Fabriciosx,"Ask the right questions about #Web3 with @kurtwuckertjr, Jr, Prof Sandeep Shukla and other #technocrats,… https://t.co/8mbXgCZcPE",twitter-bot-fab,,,,,FALSE,TRUE,0,6,,,Web3 technocrats,,,,,,,,,,,,,x31803295 x304746564,BSVBlockchain kurtwuckertjr,en,,,,,,,,,,,,,,,,x1551844669872640001,"Ask the right questions about #Web3 with @kurtwuckertjr, Jr, Prof Sandeep Shukla and other #technocrats,… https://t.co/8mbXgCZcPE",26/07/2022 08:19,HubSpot,10,6,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551862270157799425,Fabricio Cavalcante,America,,,FALSE,5324,85,76,938401,0,01/01/2013 02:32,FALSE,,,,https://pbs.twimg.com/profile_banners/1051649960/1357242372,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1379573441876090882/OERRsfhv_normal.jpg
x1262632581280890885,x1542687277331009537,01/07/2022 01:51,h2o_wave,"How to deploy H2O Wave apps on Heroku - via Mathanraj Sharma

#Python #DataScience 

https://t.co/STZBrGLAF5",Twitter for Android,,,,,FALSE,TRUE,0,2,,,Python DataScience,,link.medium.com/Rw8OkkFpirb,https://t.co/STZBrGLAF5,https://link.medium.com/Rw8OkkFpirb,,,,,,,,,x628544073,CrunchingData,en,,,,,,,,,,,,,,,,x1542686497752502272,"How to deploy H2O Wave apps on Heroku - via Mathanraj Sharma

#Python #DataScience 

https://t.co/STZBrGLAF5",01/07/2022 01:48,Twitter Web App,1,2,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1542687277331009537,H2O Wave,America,Realtime apps and dashboards for #Python.,https://t.co/RMx08OwEig,FALSE,168,0,10,13,2,19/05/2020 06:34,FALSE,https://t.co/RMx08OwEig,https://github.com/h2oai/wave,,https://pbs.twimg.com/profile_banners/1262632581280890885/1604038869,,http://pbs.twimg.com/profile_images/1322060957460295682/nTVoFG6d_normal.jpg
x628544073,x1548475694987939840,17/07/2022 01:12,CrunchingData,"The Nitro docs include a cheatsheet now. 

Despite having only two functions, view() and box(), the cheatsheet has… https://t.co/qwjs5Bd6I6",Twitter for Android,,,,,FALSE,FALSE,4,3,,,,,twitter.com/i/web/status/1…,https://t.co/qwjs5Bd6I6,https://twitter.com/i/web/status/1548475694987939840,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1548475694987939840,Prithvi,America,"Chief of Tech @h2oai.
Graphics, visualization, compilers.
Making app dev fast, fun and easy.
Try https://t.co/dMXmDhygVs and https://t.co/dsswdwnC7n",https://t.co/u2MlPRm0X6,FALSE,288,176,21,306,205,06/07/2012 15:17,FALSE,https://t.co/u2MlPRm0X6,http://wrong.technology,,https://pbs.twimg.com/profile_banners/628544073/1657987293,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1548112348145016837/feImzZqy_normal.jpg
x1580535385,x1551683194126229507,25/07/2022 21:37,jdblischak,"Last week was my last week at work. Taking some time off before starting the new thing to reflect. <U+0001F497>
https://t.co/RZ3sk8DplV",Twitter Web App,,,,,FALSE,TRUE,0,28,,,,,vickiboykis.com/2022/07/25/loo…,https://t.co/RZ3sk8DplV,https://vickiboykis.com/2022/07/25/looking-back-at-two-years-at-automattic-and-tumblr/,,,,,,,,,x19304217,vboykis,en,,,,,,,,,,,,,,,,x1551629390685036546,"Last week was my last week at work. Taking some time off before starting the new thing to reflect. <U+0001F497>
https://t.co/RZ3sk8DplV",25/07/2022 18:04,Twitter Web App,244,28,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551683194126229507,John Blischak,America,"Freelance Scientific Software Developer.
Author of #rstats package workflowr",https://t.co/guMvwRLQHy,FALSE,1842,1525,48,2447,12183,09/07/2013 14:26,FALSE,https://t.co/guMvwRLQHy,https://jdblischak.com/,,https://pbs.twimg.com/profile_banners/1580535385/1517454762,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1248266807644831744/4xmiA2Yj_normal.jpg
x14629263,x1551761426301296643,26/07/2022 02:48,JonTheGeek,@CMastication But have you met the NUL character? I've seen sql clients refuse to display results that contained it.,Twitter for Android,,x1551702678736191488,x43186378,CMastication,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,x43186378,CMastication,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551761426301296643,Jon Harmon (he/him),America,Admin of @R4DScommunity and host of the #TidyTuesday @tidypod podcast. Principal Data Scientist (Content Science) @macmillanlearn. Views are mine.,https://t.co/lqzag1W3u7,FALSE,4121,1981,137,18216,20922,02/05/2008 18:25,FALSE,https://t.co/lqzag1W3u7,http://jonthegeek.com,,https://pbs.twimg.com/profile_banners/14629263/1657741006,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1183601901385990151/NQS9879J_normal.jpg
x178462952,x1551696251938275333,25/07/2022 22:29,IngridStarfish,"@MVerunschk ""...No #sertão coroado de #facheiro
Minha mente jamais esquece o cheiro
D’uma chuva molhando a terra qu… https://t.co/aQVDvVRjic",Twitter Web App,,x1475992215755403264,x1132645436,MVerunschk,FALSE,FALSE,1,0,,,sertão facheiro,,twitter.com/i/web/status/1…,https://t.co/aQVDvVRjic,https://twitter.com/i/web/status/1551696251938275333,,,,,,,,,x1132645436,MVerunschk,pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551696251938275333,Ingrid Lima <U+0001F1E7><U+0001F1F7> <U+0001F1E6><U+0001F1F7>,America,Researcher | Teacher | Biologist @UFRPEOnline l Master in #Ethnobiology and Nature #Conservation @PPGEtno | Nature-based Solutions | #SES | #Goal6 | #Dryland,https://t.co/ffSPNxqlGn,FALSE,592,1861,3,3357,11910,14/08/2010 20:56,FALSE,https://t.co/ffSPNxqlGn,http://ipojucascience.com.br/,,https://pbs.twimg.com/profile_banners/178462952/1585493228,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1541382320741126147/ELeVfcMY_normal.jpg
