user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x390722263,x1551772656671793152,26/07/2022 03:33,Shel_Kariuki,"Getting so much out of the <U+0001F9C1> Machine Learning with tidymodels at #rstudioconf2022!  

The instructors proved that t… https://t.co/MojsXAhQDr",Twitter for Android,,,,,FALSE,TRUE,0,1,,,rstudioconf2022,,,,,,,,,,,,,x238528404,LuisDVerde,en,,,,,,,,,,,,,,,,x1551770232397742081,"Getting so much out of the <U+0001F9C1> Machine Learning with tidymodels at #rstudioconf2022!  

The instructors proved that t… https://t.co/MojsXAhQDr",26/07/2022 03:23,Twitter Web App,30,1,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551772656671793152,Shel <U+0001F1F0><U+0001F1EA>,Africa,"STC: @UN @worldbankdata

Co-organizer: #NairobiR, @RLadiesNairobi
Interests: #rstats #dataanalytics #datascience
#causalanalysis",https://t.co/0hpoUSeI7U,FALSE,3994,2781,63,9801,15008,14/10/2011 12:59,FALSE,https://t.co/0hpoUSeI7U,https://shelkariuki.netlify.com/,,https://pbs.twimg.com/profile_banners/390722263/1657391286,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1549737165248143362/FcGKW7kc_normal.jpg
x2843834200,x1551850988323147778,26/07/2022 08:44,mrAfricanSeed,@CodingKenya @_njorogefaith,Twitter for Android,,x1551850443759919104,x1128351826343018501,CodingKenya,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,x1128351826343018501 x1078304077530976256,CodingKenya _njorogefaith,qam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551850988323147778,Kar<U+0001F170><U+FE0F>ni,Africa,R-User || Lead @RDekut Community #rstats  || Catcher @NyeriRebels Softball || @wowzi_ke Influencer #StayWowzing || @JengaSchool Campus Ambassador 2022,,FALSE,2269,2427,8,5785,17780,25/10/2014 15:24,FALSE,,,,https://pbs.twimg.com/profile_banners/2843834200/1658610355,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1551544149303824384/jccBJrGc_normal.jpg
x1070047332,x1551557224241192961,25/07/2022 13:17,oousmane_11,On my way to #rstudioconf2022! I'm so excited to TA the ggplot2  workshop with @CedScherer and to meet other… https://t.co/7mVebRS8aP,Twitter for Android,,,,,FALSE,TRUE,0,9,,,rstudioconf2022 RStats,,,,,,,,,,,,,x633596180 x3092381638,dickoah CedScherer,en,,,,,,,,,,,,,,,,x1551217223737409537,On my way to #rstudioconf2022! I'm so excited to TA the ggplot2  workshop with @CedScherer and to meet other… https://t.co/7mVebRS8aP,24/07/2022 14:46,TweetDeck,96,9,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551557224241192961,Ousmane Ouedraogo,Africa,"Science | FreeThinker | Human
                #rstats #dataviz #freelance",https://t.co/CDH80yXAXZ,FALSE,53,933,1,293,421,08/01/2013 05:30,FALSE,https://t.co/CDH80yXAXZ,https://ousmane-ouedraogo.netlify.app,,https://pbs.twimg.com/profile_banners/1070047332/1590343963,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1474646348976824324/o84Fobke_normal.jpg
x939158453532200960,x1547291605304070144,13/07/2022 18:47,ado_ct22,"Introduction to R - R spatial by R Spatial

https://t.co/BVukOYPik6
#RStats",Twitter for Android,,,,,FALSE,TRUE,0,1,,,RStats,,bigbookofr.com/r-programming.…,https://t.co/BVukOYPik6,https://bigbookofr.com/r-programming.html#introduction-to-r---r-spatial,,,,,,,,,x1476418786622328835,BigBookofR,en,,,,,,,,,,,,,,,,x1547284499029000192,"Introduction to R - R spatial by R Spatial

https://t.co/BVukOYPik6
#RStats",13/07/2022 18:19,BigBookofR,2,1,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1547291605304070144,Abdelrhman Ali,Africa,<U+062F><U+0643><U+062A><U+0648><U+0631><U+0627><U+0647> <U+0641><U+064A> <U+062A><U+0643><U+0646><U+0648><U+0644><U+0648><U+062C><U+064A><U+0627> <U+0627><U+0644><U+062A><U+0639><U+0644><U+064A><U+0645><U+060C>  <U+0645><U+0647><U+062A><U+0645> <U+0628><U+0627><U+0644><U+062A><U+0639><U+0644><U+064A><U+0645> <U+0648><U+0627><U+0644><U+062A><U+0639><U+0644><U+0645>,,FALSE,40,589,0,752,1039,08/12/2017 15:43,FALSE,,,,,,http://pbs.twimg.com/profile_images/1174959622957830144/iQhUelYF_normal.jpg
x808247810814517249,x1551837174160662529,26/07/2022 07:49,AlphaHunter_Ke,"About Sacco's, 
Need to know... https://t.co/MDxNMwZgef",Twitter for Android,,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,x634926870,KinotiJimm,en,,,,,,,,,,,,,,,,x1551825539060613122,"About Sacco's, 
Need to know... https://t.co/MDxNMwZgef",26/07/2022 07:03,Twitter for Android,9,3,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551837174160662529,0.007297351<U+0001F1F0><U+0001F1EA>,Africa,Born leader/radical thinker/fearless speaker/black/Kenyan/patriot/son/born-again/forgiven/destined for greatness/grateful,,FALSE,125,272,0,2234,167,12/12/2016 09:51,FALSE,,,,https://pbs.twimg.com/profile_banners/808247810814517249/1628280676,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1448635624983040002/qFFZFLUS_normal.jpg
x1199817062077603840,x1551889356608110594,26/07/2022 11:17,cgonfire,#iphone5s #melbourne #photography https://t.co/jICKya91Nq,Twitter Web App,,,,,FALSE,TRUE,0,1,,,iphone5s melbourne photography,,,,,http://pbs.twimg.com/media/FYjGFZhaMAATzPj.jpg,https://t.co/jICKya91Nq,https://twitter.com/jimmygunawanapp/status/1551707889957347328/photo/1,photo,http://pbs.twimg.com/media/FYjGFZhaMAATzPj.jpg http://pbs.twimg.com/media/FYjGF1ZaUAALgQg.jpg http://pbs.twimg.com/media/FYjGGL2aMAAsSb2.jpg,https://t.co/jICKya91Nq https://t.co/jICKya91Nq https://t.co/jICKya91Nq,https://twitter.com/jimmygunawanapp/status/1551707889957347328/photo/1 https://twitter.com/jimmygunawanapp/status/1551707889957347328/photo/1 https://twitter.com/jimmygunawanapp/status/1551707889957347328/photo/1,,x67999524,jimmygunawanapp,qme,,,,,,,,,,,,,,,,x1551707889957347328,#iphone5s #melbourne #photography https://t.co/jICKya91Nq,25/07/2022 23:16,Twitter for iPhone,2,1,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551889356608110594,Iyad Ahmed,Africa,"Software Developer, intereseted in computer graphics and computational geometry, loves Python, C and C++",https://t.co/Z5RFl7k7eH,FALSE,3451,3583,34,39318,100146,27/11/2019 22:28,FALSE,https://t.co/Z5RFl7k7eH,https://linktr.ee/iyadahmed,,https://pbs.twimg.com/profile_banners/1199817062077603840/1637234892,,http://pbs.twimg.com/profile_images/1537103041857470465/jxSNoFu4_normal.jpg
x918019398274863104,x1550890133947285512,23/07/2022 17:06,Jonteus,"Men,

If you send her some money but she doesn't appreciate it,

Or she asks,  ""I wanted 5K, why did you send 1K?""… https://t.co/vl0kH3SMdv",Twitter for Android,,,,,FALSE,TRUE,0,1141,,,,,,,,,,,,,,,,x34908371,amerix,en,,,,,,,,,,,,,,,,x1550828334032080901,"Men,

If you send her some money but she doesn't appreciate it,

Or she asks,  ""I wanted 5K, why did you send 1K?""… https://t.co/vl0kH3SMdv",23/07/2022 13:01,Buffer,5989,1141,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1550890133947285512,John WAMBUA,Africa,"“Learn to be thankful for what you already have, while you pursue all that you want.”",https://t.co/V6p8n3GOYP,FALSE,235,3147,0,3970,6394,11/10/2017 07:44,FALSE,https://t.co/V6p8n3GOYP,https://www.wix.com/mysite,,https://pbs.twimg.com/profile_banners/918019398274863104/1507714185,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/918045953269084160/wDAvCxPQ_normal.jpg
x3318844765,x1551545300250202112,25/07/2022 12:30,RConsortium,Deadline for virtual registration is tomorrow! Learn about current developments within and beyond the @Bioconductor… https://t.co/oH9ZxoNkvJ,TweetDeck,,,,,FALSE,FALSE,4,5,,,,,twitter.com/i/web/status/1…,https://t.co/oH9ZxoNkvJ,https://twitter.com/i/web/status/1551545300250202112,,,,,,,,,x407200271,Bioconductor,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551545300250202112,R Consortium,America,"Businesses organized under an open source model to support to the R community, R Foundation and people using, maintaining and distributing R software.",http://t.co/IwnrAnLCAv,FALSE,14283,500,337,529,180,18/08/2015 15:12,FALSE,http://t.co/IwnrAnLCAv,http://www.r-consortium.org,,https://pbs.twimg.com/profile_banners/3318844765/1440007188,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/634062278057439233/oTDwjhnZ_normal.png
x1051649960,x1551877370222497792,26/07/2022 10:29,Fabriciosx,https://t.co/yTc4m91Fu0 #curso #online de introducción a #programación con #Clojure a 12.99€ #España hasta el 11 de… https://t.co/Pdu6DCG2C2,twitter-bot-fab,,,,,FALSE,TRUE,0,1,,,curso online programación Clojure España,,udemy.com/course/clojure…,https://t.co/yTc4m91Fu0,http://udemy.com/course/clojure-lenguaje-de-programacion-curso-online-en-espanol/?couponCode=AGOSTO2022,,,,,,,,,x62924826,LUHE_Daniel,es,,,,,,,,,,,,,,,,x1551877287083130881,https://t.co/yTc4m91Fu0 #curso #online de introducción a #programación con #Clojure a 12.99€ #España hasta el 11 de… https://t.co/Pdu6DCG2C2,26/07/2022 10:29,Twitter Web App,0,1,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551877370222497792,Fabricio Cavalcante,America,,,FALSE,5325,85,76,938434,0,01/01/2013 02:32,FALSE,,,,https://pbs.twimg.com/profile_banners/1051649960/1357242372,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1379573441876090882/OERRsfhv_normal.jpg
x13074042,x1551880332881846272,26/07/2022 10:41,juliasilge,@shibalytics @topepos So great to meet you! <U+0001F64C>,Twitter for iPhone,,x1551703775941107712,x1412063016066093062,shibalytics,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,x1412063016066093062 x960947423320326144,shibalytics topepos,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1551880332881846272,Julia Silge,America,"Data science and MLOps at @rstudio, #rstats, text analysis, parenthood <U+2728><U+0001F4CA><U+2728> she/her

Also find me @juliasilge@mastodon.technology",https://t.co/rNo8OrqU1k,FALSE,47383,761,1120,23613,54271,05/02/2008 00:47,FALSE,https://t.co/rNo8OrqU1k,https://juliasilge.com/,,https://pbs.twimg.com/profile_banners/13074042/1517974680,http://abs.twimg.com/images/themes/theme13/bg.gif,http://pbs.twimg.com/profile_images/1548401958045724678/G55AFP6H_normal.jpg
