"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x390722263","x1547381967049707520",2022-07-14 00:46:24,"Shel_Kariuki","Join me at rstudio::conf(2022) this July in Washington D.C. I will be speaking on July 27 about query optimization.… https://t.co/0WmKUVsfvb","Twitter for Android",,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x484343944","beehadi26","en",,,,,,,,,,,,,,,,"x1547263188764266496","Join me at rstudio::conf(2022) this July in Washington D.C. I will be speaking on July 27 about query optimization.… https://t.co/0WmKUVsfvb",2022-07-13 16:54:25,"Twitter Web App",29,6,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1547381967049707520","Shel <U+0001F1F0><U+0001F1EA>","Nairobi, Kenya","STC: @UN @worldbankdata

Co-organizer: #NairobiR, @RLadiesNairobi
Interests: #rstats #dataanalytics #datascience
#causalanalysis","https://t.co/0hpoUSeI7U",FALSE,3979,2754,62,9706,14788,2011-10-14 12:59:07,FALSE,"https://t.co/0hpoUSeI7U","https://shelkariuki.netlify.com/",,"https://pbs.twimg.com/profile_banners/390722263/1657391286","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1536684765360824320/L62YU05K_normal.jpg"
"x14351134","x1547487269866684416",2022-07-14 07:44:50,"sellorm","The number of atrocities committed in the name of Scrum have tarnished agile altogether. It’s a shame. It’s this ki… https://t.co/J7VF5ZBkW8","Twitter for iPhone",,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x15478303","kevinswiber","en",,,,,,,,,,,,,,,,"x1547340834147672064","The number of atrocities committed in the name of Scrum have tarnished agile altogether. It’s a shame. It’s this ki… https://t.co/J7VF5ZBkW8",2022-07-13 22:02:57,"Twitter for iPhone",9,1,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1547487269866684416","mark_sellors.txt","People's Republic of Stroud","intrepid technologist • toolsmith • #rstats • open-source & open-data <U+0001F951> • product • <U+0001F9D1><U+200D><U+0001F4BB> @r4piorg • <U+0001F468><U+200D><U+0001F4BC> @data_orchard • <U+0001F9D1><U+200D><U+0001F4BB> @rstudio • introvert • he/him","https://t.co/oHMh8j0cGF",FALSE,2317,2009,141,12934,53933,2008-04-10 13:45:32,FALSE,"https://t.co/oHMh8j0cGF","https://blog.sellorm.com",,"https://pbs.twimg.com/profile_banners/14351134/1536940125","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1130910290621677568/7bI8ERrv_normal.jpg"
"x1011817655957893120","x1547581424349224961",2022-07-14 13:58:58,"rstatstweet","R<U+3067>csv<U+30D5><U+30A1><U+30A4><U+30EB><U+3092><U+8AAD><U+307F><U+8FBC><U+3080><U+65B9><U+6CD5><U+3092><U+307E><U+3068><U+3081><U+307E><U+3057><U+305F><U+3002><U+3053><U+308C><U+3067><U+3060><U+3044><U+305F><U+3044><U+306E>csv<U+306F><U+51E6><U+7406><U+3067><U+304D><U+308B><U+306F><U+305A>!!
#<U+30D6><U+30ED><U+30B0><U+521D><U+5FC3><U+8005> #<U+30D6><U+30ED><U+30B0> #RStats #Rstudio #R #<U+30EF><U+30FC><U+30C9><U+30D7><U+30EC><U+30B9>

https://t.co/XBh1wHvLxd","rstatsretweetingtool",,,,,FALSE,TRUE,0,1,,,"<U+30D6><U+30ED><U+30B0><U+521D><U+5FC3><U+8005> <U+30D6><U+30ED><U+30B0> RStats Rstudio R <U+30EF><U+30FC><U+30C9><U+30D7><U+30EC><U+30B9>",,"kani3blog.com/r_read_csv/","https://t.co/XBh1wHvLxd","https://www.kani3blog.com/r_read_csv/",,,,,,,,,"x1539572176956694528","kanisanblog","ja",,,,,,,,,,,,,,,,"x1547580069169602560","R<U+3067>csv<U+30D5><U+30A1><U+30A4><U+30EB><U+3092><U+8AAD><U+307F><U+8FBC><U+3080><U+65B9><U+6CD5><U+3092><U+307E><U+3068><U+3081><U+307E><U+3057><U+305F><U+3002><U+3053><U+308C><U+3067><U+3060><U+3044><U+305F><U+3044><U+306E>csv<U+306F><U+51E6><U+7406><U+3067><U+304D><U+308B><U+306F><U+305A>!!
#<U+30D6><U+30ED><U+30B0><U+521D><U+5FC3><U+8005> #<U+30D6><U+30ED><U+30B0> #RStats #Rstudio #R #<U+30EF><U+30FC><U+30C9><U+30D7><U+30EC><U+30B9>

https://t.co/XBh1wHvLxd",2022-07-14 13:53:35,"Twitter for iPhone",4,1,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1547581424349224961","Rstats","","I retweet #rstats stuff. Maintained by @justin_ct_ho.",,FALSE,23070,32,389,406521,1,2018-06-27 03:45:02,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1011818295916417025/P1CkbdYi_normal.jpg"
"x1306626901432324097","x1547582509256302594",2022-07-14 14:03:17,"rstats_tweets","Join Marie Ruth Dago, Ph.D. student in Agroforestry at @Polytechnique, at the Francophone SatRday Conference, Satur… https://t.co/EasKcAkdli","rstats bot",,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x3318844765 x278022309","RConsortium Polytechnique","en",,,,,,,,,,,,,,,,"x1547581816629895177","Join Marie Ruth Dago, Ph.D. student in Agroforestry at @Polytechnique, at the Francophone SatRday Conference, Satur… https://t.co/EasKcAkdli",2022-07-14 14:00:32,"TweetDeck",0,1,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1547582509256302594","R Tweets","","Bot automatically retweeting things posted with the #rstats hashtag. Highly filtered. Profile and header image CC-BY-4.0 @allison_horst. Bot by @MikeMahoney218.",,FALSE,3156,1,68,85797,4,2020-09-17 16:12:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/1306626901432324097/1600359349",,"http://pbs.twimg.com/profile_images/1306627792646397953/pPwT4WsO_normal.jpg"
"x1075011651366199297","x1547577979781279747",2022-07-14 13:45:17,"rstats4ds","How to Read and Merge +1000 Excel files using R by @FelixAnalytix https://t.co/w5xm3CUNQY #rstats","R stats API access",,,,,FALSE,TRUE,0,3,,,"rstats",,"link.medium.com/mKlFzy9NErb","https://t.co/w5xm3CUNQY","https://link.medium.com/mKlFzy9NErb",,,,,,,,,"x1494752996412084227 x1470106992131948549","rmarkdown FelixAnalytix","en",,,,,,,,,,,,,,,,"x1547574313263345667","How to Read and Merge +1000 Excel files using R by @FelixAnalytix https://t.co/w5xm3CUNQY #rstats",2022-07-14 13:30:43,"Twitter Web App",8,3,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1547577979781279747","R for Data Science","","Interested in using #Rstats for #DataScience. A bot maintained by @AlexBetts. Retweets are not endorsements.",,FALSE,18313,1,388,94026,93606,2018-12-18 12:55:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/1075011651366199297/1545140394",,"http://pbs.twimg.com/profile_images/1075022804691640321/eOk4r-WZ_normal.jpg"
"x1288036436713680897","x1546997786155323393",2022-07-12 23:19:48,"Bezzzq","10 Tips to Customize Text Color, Font, Size in ggplot2 with element_text() #bookmarked  #rstats https://t.co/WNYCSAIdsp","Twitter for iPhone",,,,,FALSE,TRUE,0,100,,,"bookmarked rstats",,"cmdlinetips.com/2021/05/tips-t…","https://t.co/WNYCSAIdsp","https://cmdlinetips.com/2021/05/tips-to-customize-text-color-font-size-in-ggplot2-with-element_text/",,,,,,,,,"x1211285580346093575","datavizpyr","en",,,,,,,,,,,,,,,,"x1546906757989306369","10 Tips to Customize Text Color, Font, Size in ggplot2 with element_text() #bookmarked  #rstats https://t.co/WNYCSAIdsp",2022-07-12 17:18:05,"Twitter Web App",426,100,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1546997786155323393","Ivan Z","","SP S",,FALSE,3,63,0,61,159,2020-07-28 09:00:06,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1323875760382210050/KILG_4Th_normal.jpg"
"x285509027","x1547560757964918785",2022-07-14 12:36:51,"FGazzelloni","The R Adoption Webinar Series: Using R in Regulatory Review is TOMORROW, July 13 from 11-12:30p (EST)! It is not to… https://t.co/lSoFLlxqx6","Twitter Web App",,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x3318844765","RConsortium","en",,,,,,,,,,,,,,,,"x1546841814748958720","The R Adoption Webinar Series: Using R in Regulatory Review is TOMORROW, July 13 from 11-12:30p (EST)! It is not to… https://t.co/lSoFLlxqx6",2022-07-12 13:00:02,"TweetDeck",1,3,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1547560757964918785","Federica Gazzelloni® (she/her)","World","Statistician & Actuary |@IHME_UW |@R4DScommunity|@RLadiesDC| <U+0001F4EE>DM for #DataVisualization <U+0001F4C8><U+0001F4C9>| https://t.co/G5ROFUJv57 <U+0001F4CD>#Peace <U+0001F340><U+0001F338><U+0001F33C><U+0001F33A>","https://t.co/sWefhDZ1yZ",FALSE,2542,4762,50,6052,4352,2011-04-21 08:37:06,FALSE,"https://t.co/sWefhDZ1yZ","https://federicagazzelloni.netlify.app",,"https://pbs.twimg.com/profile_banners/285509027/1613677796","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1532822653035233280/nQ0AhxoB_normal.jpg"
"x235261861","x1547431697360330752",2022-07-14 04:04:01,"rstudio","Don't forget, RStudio's own Phil Bowsher is showing @uk_biobank researchers how to set up &amp; use RStudio Workbench t… https://t.co/cpsBsNBnGT","Buffer",,,,,FALSE,FALSE,11,0,,,,,"twitter.com/i/web/status/1…","https://t.co/cpsBsNBnGT","https://twitter.com/i/web/status/1547431697360330752",,,,,,,,,"x2532315008","uk_biobank","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1547431697360330752","RStudio","Boston","Open source and enterprise-ready professional software for data science teams using R and Python.","http://t.co/sNW3mienR9",FALSE,132662,663,2244,2980,2840,2011-01-07 19:13:28,FALSE,"http://t.co/sNW3mienR9","http://www.rstudio.com",,"https://pbs.twimg.com/profile_banners/235261861/1592573564","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1273974016265486349/qghv719Z_normal.jpg"
"x56198918","x1546514856806866944",2022-07-11 15:20:49,"csgillespie","Just two weeks until @jumping_uk head to @rstudio conference! <U+2708><U+FE0F><U+2708><U+FE0F><U+2708><U+FE0F> I'll talking about translating #shiny apps int… https://t.co/I3JxUdL0sW","Talon Android",,,,,FALSE,TRUE,0,7,,,"shiny",,,,,,,,,,,,,"x963902391643967488 x712578432656359424 x235261861","nrennie35 jumping_uk rstudio","en",,,,,,,,,,,,,,,,"x1546499803248373763","Just two weeks until @jumping_uk head to @rstudio conference! <U+2708><U+FE0F><U+2708><U+FE0F><U+2708><U+FE0F> I'll talking about translating #shiny apps int… https://t.co/I3JxUdL0sW",2022-07-11 14:21:00,"Twitter Web App",23,7,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1546514856806866944","Colin Gillespie","Newcastle Upon Tyne, England","@OReillyMedia author, #rstats trainer and consultant.  Co-founder of @jumping_uk","https://t.co/DHNSkAFpdD",FALSE,1782,406,87,2035,3442,2009-07-12 21:40:42,FALSE,"https://t.co/DHNSkAFpdD","http://www.jumpingrivers.com",,"https://pbs.twimg.com/profile_banners/56198918/1489920390","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1012382057434177536/yiiFGEnK_normal.jpg"
"x963902391643967488","x1546982023176359942",2022-07-12 22:17:10,"nrennie35","Announcing our next meetup event: the R-Ladies Reception at @rstudio conference!! 

When: Thurs. Jul. 28, 5:30-7pm… https://t.co/EHXUPNc2s1","Twitter for iPhone",,,,,FALSE,TRUE,0,14,,,,,,,,,,,,,,,,"x806895230863568896 x235261861","RLadiesDC rstudio","en",,,,,,,,,,,,,,,,"x1546974366768021505","Announcing our next meetup event: the R-Ladies Reception at @rstudio conference!! 

When: Thurs. Jul. 28, 5:30-7pm… https://t.co/EHXUPNc2s1",2022-07-12 21:46:45,"TweetDeck",22,14,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1546982023176359942","Nicola Rennie","United Kingdom","Data Scientist @jumping_uk. PhD in Statistics and Operational Research. Generative artist. Runner of endurance races. Neat freak. She/her. Views my own.","https://t.co/JcBkPhFFDP",FALSE,2176,986,34,432,2922,2018-02-14 22:26:53,FALSE,"https://t.co/JcBkPhFFDP","https://nrennie.rbind.io/",,"https://pbs.twimg.com/profile_banners/963902391643967488/1637686486","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1432384644234809353/bSQaBhv8_normal.jpg"
