"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1011817655957893120","x1545363657457934337",2022-07-08 11:06:22,"rstatstweet","How to add a column to an R dataframe flagging activity in other columns? #tidyverse #rstats https://t.co/PG3AgolPi7","rstatsretweetingtool",,,,,FALSE,TRUE,0,1,,,"tidyverse rstats",,"stackoverflow.com/questions/7291…","https://t.co/PG3AgolPi7","https://stackoverflow.com/questions/72910457/how-to-add-a-column-to-an-r-dataframe-flagging-activity-in-other-columns",,,,,,,,,"x935569091678691328","tidyversetweets","en",,,,,,,,,,,,,,,,"x1545363238623227904","How to add a column to an R dataframe flagging activity in other columns? #tidyverse #rstats https://t.co/PG3AgolPi7",2022-07-08 11:04:42,"tidyverse_tweets",0,1,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545363657457934337","Rstats","","I retweet #rstats stuff. Maintained by @justin_ct_ho.",,FALSE,22912,32,386,404889,93,2018-06-27 03:45:02,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1011818295916417025/P1CkbdYi_normal.jpg"
"x1306626901432324097","x1545356114933518339",2022-07-08 10:36:23,"rstats_tweets","I wrote another big blog post on #functionalprogramming in #rstats. This time I also show how writing functional co… https://t.co/43GLxM9YM5","rstats bot",,,,,FALSE,TRUE,0,5,,,"functionalprogramming rstats",,,,,,,,,,,,,"x23735583","Lincoln81","en",,,,,,,,,,,,,,,,"x1545353480902246401","I wrote another big blog post on #functionalprogramming in #rstats. This time I also show how writing functional co… https://t.co/43GLxM9YM5",2022-07-08 10:25:55,"Twitter Web App",3,5,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545356114933518339","R Tweets","","Bot automatically retweeting things posted with the #rstats hashtag. Highly filtered. Profile and header image CC-BY-4.0 @allison_horst. Bot by @MikeMahoney218.",,FALSE,3124,1,67,85221,4,2020-09-17 16:12:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/1306626901432324097/1600359349",,"http://pbs.twimg.com/profile_images/1306627792646397953/pPwT4WsO_normal.jpg"
"x285509027","x1545298797567287296",2022-07-08 06:48:38,"FGazzelloni","Peng and Zhou @UCLA present shrinkage estimation and model selection - An empirical Bayes approach to stochastic bl… https://t.co/qhOSNAdDcv","TweetDeck",,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x402875257 x18918483","thePeerJ UCLA","en",,,,,,,,,,,,,,,,"x1544646242478727168","Peng and Zhou @UCLA present shrinkage estimation and model selection - An empirical Bayes approach to stochastic bl… https://t.co/qhOSNAdDcv",2022-07-06 11:35:37,"Hootsuite Inc.",1,3,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545298797567287296","Federica Gazzelloni® (she/her)","World","Statistician & Actuary |@IHME_UW|@AmstatNews |@R4DScommunity|@RLadiesDC| <U+0001F4EE>DM for #DataVisualization <U+0001F4C8><U+0001F4C9>| https://t.co/G5ROFUJv57 <U+0001F4CD>#Peace <U+0001F340><U+0001F338><U+0001F33C><U+0001F33A>","https://t.co/sWefhDZ1yZ",FALSE,2537,4723,51,6012,4285,2011-04-21 08:37:06,FALSE,"https://t.co/sWefhDZ1yZ","https://federicagazzelloni.netlify.app",,"https://pbs.twimg.com/profile_banners/285509027/1613677796","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1532822653035233280/nQ0AhxoB_normal.jpg"
"x235261861","x1545152841966297089",2022-07-07 21:08:39,"rstudio","There are nearly 100 presentations including Keynotes, Talks, and Lightning Talks happening across rstudio::conf(20… https://t.co/A7U88qfCbG","Twitter Web App",,,,,FALSE,FALSE,63,18,,,,,"twitter.com/i/web/status/1…","https://t.co/A7U88qfCbG","https://twitter.com/i/web/status/1545152841966297089",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545152841966297089","RStudio","Boston","Open source and enterprise-ready professional software for data science teams using R and Python.","http://t.co/sNW3mienR9",FALSE,132419,663,2240,2974,2825,2011-01-07 19:13:28,FALSE,"http://t.co/sNW3mienR9","http://www.rstudio.com",,"https://pbs.twimg.com/profile_banners/235261861/1592573564","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1273974016265486349/qghv719Z_normal.jpg"
"x56198918","x1545310130371280896",2022-07-08 07:33:40,"csgillespie","Hugh Grant tweeted a request at activists protesting outside Westminster to play the Benny Hill theme on their loud… https://t.co/L956KfjE2W","Talon Android",,,,,FALSE,TRUE,0,26230,,,,,,,,,,,,,,,,"x377773483","Fritschner","en",,,,,,,,,,,,,,,,"x1545077380527673344","Hugh Grant tweeted a request at activists protesting outside Westminster to play the Benny Hill theme on their loud… https://t.co/L956KfjE2W",2022-07-07 16:08:48,"Twitter for iPhone",138216,26230,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545310130371280896","Colin Gillespie","Newcastle Upon Tyne, England","@OReillyMedia author, #rstats trainer and consultant.  Co-founder of @jumping_uk","https://t.co/DHNSkAFpdD",FALSE,1783,406,87,2033,3433,2009-07-12 21:40:42,FALSE,"https://t.co/DHNSkAFpdD","http://www.jumpingrivers.com",,"https://pbs.twimg.com/profile_banners/56198918/1489920390","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1012382057434177536/yiiFGEnK_normal.jpg"
"x963902391643967488","x1545317265154924545",2022-07-08 08:02:01,"nrennie35","My first  #TidyTuesday inspired by @nrennie35 I looked at the situation in England and with a zoom on Cambridgeshir… https://t.co/ozr4I3fFAK","Twitter for iPhone",,,,,FALSE,TRUE,0,5,,,"TidyTuesday",,,,,,,,,,,,,"x120816884 x963902391643967488","rgiordano79 nrennie35","en",,,,,,,,,,,,,,,,"x1544636277454249985","My first  #TidyTuesday inspired by @nrennie35 I looked at the situation in England and with a zoom on Cambridgeshir… https://t.co/ozr4I3fFAK",2022-07-06 10:56:01,"Twitter Web App",9,5,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545317265154924545","Nicola Rennie","United Kingdom","Data Scientist @jumping_uk. PhD in Statistics and Operational Research. Generative artist. Runner of endurance races. Neat freak. She/her. Views my own.","https://t.co/JcBkPhFFDP",FALSE,2158,963,34,423,2879,2018-02-14 22:26:53,FALSE,"https://t.co/JcBkPhFFDP","https://nrennie.rbind.io/",,"https://pbs.twimg.com/profile_banners/963902391643967488/1637686486","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1432384644234809353/bSQaBhv8_normal.jpg"
"x1150845585081143296","x1545335475195478016",2022-07-08 09:14:22,"MConvexity","<U+0001F1EF><U+0001F1F5> A timeline of the career of former Japanese PM Shinzo Abe

- @TOIWorld https://t.co/waSQgjtDd6","Twitter for iPhone",,,,,FALSE,TRUE,0,4,,,,,,,,"http://pbs.twimg.com/media/FXIdEm0XEAA3foL.png","https://t.co/waSQgjtDd6","https://twitter.com/PriapusIQ/status/1545329715648634886/photo/1","photo","http://pbs.twimg.com/media/FXIdEm0XEAA3foL.png","https://t.co/waSQgjtDd6","https://twitter.com/PriapusIQ/status/1545329715648634886/photo/1",,"x1160506639046328321 x29959618","PriapusIQ TOIWorld","en",,,,,,,,,,,,,,,,"x1545329715648634886","<U+0001F1EF><U+0001F1F5> A timeline of the career of former Japanese PM Shinzo Abe

- @TOIWorld https://t.co/waSQgjtDd6",2022-07-08 08:51:29,"Twitter Web App",8,4,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545335475195478016","<U+C624><U+BA54><U+B974>","","#GlobalMacro #Derivatives #Philosophy",,FALSE,196,551,3,59730,65718,2019-07-15 19:12:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1150845585081143296/1616311035",,"http://pbs.twimg.com/profile_images/1524596737209507840/Ry-9tyvi_normal.jpg"
"x1409778128","x1544768087010033665",2022-07-06 19:39:47,"StatsRhian","But why would I want a constant red light on my desk? <U+274C><U+274C><U+274C> https://t.co/9PrPCMIJba","Twitter Web App",,,,,FALSE,FALSE,8,0,,,,,"twitter.com/github/status/…","https://t.co/9PrPCMIJba","https://twitter.com/github/status/1544697611394891776",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1544768087010033665","Rhian Davies","Lancaster, England","Statistician @jumping_uk | #RStats | @RoyalStatSoc Stats Ambassador | 
Dysgwr Cymraeg | <U+0001F6A3><U+200D><U+2640><U+FE0F> <U+0001F6B4><U+200D><U+2640><U+FE0F> <U+0001F3C3><U+200D><U+2640><U+FE0F> <U+0001F9D7><U+200D><U+2640><U+FE0F> <U+0001F3BC> <U+0001F941> <U+0001F9F6> <U+0001F3F3><U+FE0F><U+200D><U+0001F308> <U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> <U+0001F1EA><U+0001F1FA> | She/her","https://t.co/Brc830o4Dv",FALSE,1062,413,35,1831,6146,2013-05-07 09:06:46,FALSE,"https://t.co/Brc830o4Dv","https://rhian.rbind.io/",,"https://pbs.twimg.com/profile_banners/1409778128/1593268197","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1415270814547685383/_ifPplNW_normal.jpg"
"x2430779329","x1545229883965571072",2022-07-08 02:14:47,"parmsam_","And, with the help of an Rscript shebang, I've now got a handy cmdline weather reporter. https://t.co/IJysS8lIkD","Twitter Web App",,,,,FALSE,TRUE,0,3,,,,,,,,"http://pbs.twimg.com/media/FXFBTm6XkAEcE8M.jpg","https://t.co/IJysS8lIkD","https://twitter.com/hrbrmstr/status/1545088679567302660/photo/1","photo","http://pbs.twimg.com/media/FXFBTm6XkAEcE8M.jpg","https://t.co/IJysS8lIkD","https://twitter.com/hrbrmstr/status/1545088679567302660/photo/1",,"x5685812","hrbrmstr","en",,,,,,,,,,,,,,,,"x1545088679567302660","And, with the help of an Rscript shebang, I've now got a handy cmdline weather reporter. https://t.co/IJysS8lIkD",2022-07-07 16:53:42,"Twitter Web App",47,3,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545229883965571072","Sam","","Data Scientist
#rstats #rshiny","https://t.co/WP8wPFs8zX",FALSE,8,72,0,209,353,2014-04-06 17:27:41,FALSE,"https://t.co/WP8wPFs8zX","https://github.com/parmsam",,"https://pbs.twimg.com/profile_banners/2430779329/1641487176","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1518543237513990144/AKEqJM3l_normal.jpg"
"x13967522","x1545324993424359425",2022-07-08 08:32:43,"MikeKSmith","@travisgerke @grrrck @jeremy_data @LisaDeBruine Milk first people also make tea in the microwave.","Twitter for iPad",,"x1545235427648368640","x34260029","travisgerke",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x34260029 x47332433 x835691393762787329 x18100201","travisgerke grrrck jeremy_data LisaDeBruine","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1545324993424359425","Mike K Smith","Milngavie, Scotland","Wonky inference meat. Professional geek. STILL not one of the “cool Bayesians”. Work for Pfizer Ltd UK. All views expressed are my own. he/him","https://t.co/BmMhJmV4Br",FALSE,976,322,49,18289,8089,2008-02-25 22:21:37,FALSE,"https://t.co/BmMhJmV4Br","https://mikeksmith.bandcamp.com",,"https://pbs.twimg.com/profile_banners/13967522/1637073765","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1250177624997072897/les4QWZG_normal.jpg"
