user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x1070743465863102465,x1549563628961075201,20/07/2022 01:15,iliass_loudiyi,The beginning of The End: https://t.co/ocEwpFbGmi https://t.co/C3QRdOrFCF,Twitter for iPhone,,,,,FALSE,TRUE,0,3299,,,,,slipknot1.com,https://t.co/ocEwpFbGmi,http://slipknot1.com,http://pbs.twimg.com/ext_tw_video_thumb/1549446161374711809/pu/img/HIj6rbNfRqxAg7J4.jpg,https://t.co/C3QRdOrFCF,https://twitter.com/slipknot/status/1549451054109958144/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1549446161374711809/pu/img/HIj6rbNfRqxAg7J4.jpg,https://t.co/C3QRdOrFCF,https://twitter.com/slipknot/status/1549451054109958144/video/1,,x108361327,slipknot,en,,,,,,,,,,,,,,,,x1549451054109958144,The beginning of The End: https://t.co/ocEwpFbGmi https://t.co/C3QRdOrFCF,19/07/2022 17:48,Twitter Web App,13690,3299,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1549563628961075201,Iliass.L,Africa,"Engineer & Ph.D candidate in climate change <U+0001F30D> ""Sapere aude."" | Born at 360 ppm <U+0001F680><U+0001FA90>",https://t.co/MMfUhoK3xR,FALSE,83,418,0,261,3553,06/12/2018 18:15,FALSE,https://t.co/MMfUhoK3xR,https://www.facebook.com/iliass.loudiyi,,https://pbs.twimg.com/profile_banners/1070743465863102465/1657681131,,http://pbs.twimg.com/profile_images/1525326321932550145/ZlWGaFMA_normal.jpg
x1093612621339787269,x1486136189728043010,26/01/2022 00:37,Besten37,@NmesomaMarie @jblend11_11 ...........,Twitter for Android,,x1485891756847677441,x1349695305487421440,NmesomaMarie,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,x1349695305487421440,NmesomaMarie,qam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1486136189728043010,BESTEN,Africa,,,FALSE,74,273,0,7,152,07/02/2019 20:49,FALSE,,,,https://pbs.twimg.com/profile_banners/1093612621339787269/1594422214,,http://pbs.twimg.com/profile_images/1307237836601675777/eAl8u04J_normal.jpg
x1323494990409011200,,,MugambiJoe2,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,,Mugambi Joseph,Africa,"R studio aficionado, statician, economist, retailer consultant and apiarist. I roll up my sleeves and seize the bull by the horns.",,TRUE,3,307,0,102,161,03/11/2020 05:20,FALSE,,,,,,http://pbs.twimg.com/profile_images/1533739431626252288/1HNZ5MkF_normal.jpg
x936263072569810945,x1533518906639409154,05/06/2022 18:39,CMagorokosho,"In Louisiana, black women were put in cells with male prisoners and some became pregnant. 

All children born in th… https://t.co/iGrflZFBZ0",Twitter for iPhone,,,,,FALSE,TRUE,0,22662,,,,,,,,,,,,,,,,x808806102,AfricanArchives,en,,,,,,,,,,,,,,,,x1533461680327376897,"In Louisiana, black women were put in cells with male prisoners and some became pregnant. 

All children born in th… https://t.co/iGrflZFBZ0",05/06/2022 14:52,Twitter for iPhone,46571,22662,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1533518906639409154,Cosmos Magorokosho,Africa,Agricultural Researcher | Agricultural Relief & Development Background,,FALSE,685,1100,4,1079,1654,30/11/2017 15:58,FALSE,,,,,,http://pbs.twimg.com/profile_images/936263998386982912/f6l69971_normal.jpg
x415716859,x1542471669301772288,30/06/2022 11:34,Fidelz25,@MwangoCapital Did I see Iran pop up?,Twitter for Android,,x1542235936335040514,x1322852293750960133,MwangoCapital,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,x1322852293750960133,MwangoCapital,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1542471669301772288,Fidelis   Owino,Africa,plant life scientist,,FALSE,48,285,1,216,81,18/11/2011 18:23,FALSE,,,,https://pbs.twimg.com/profile_banners/415716859/1432300594,http://abs.twimg.com/images/themes/theme18/bg.gif,http://pbs.twimg.com/profile_images/795879813236064256/DKFjvB7w_normal.jpg
x1688994438,x1550116300826890247,21/07/2022 13:51,OBA_Africa,"Now that's a love! <U+2764><U+FE0F><U+0001F923><U+0001F923>

https://t.co/X8imMISmwR",Twitter for iPhone,,,,,FALSE,TRUE,0,5357,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1548044512995319810/pu/img/WyLslRkYfRahpp_S.jpg,https://t.co/X8imMISmwR,https://twitter.com/black_lily61/status/1548044626610638848/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1548044512995319810/pu/img/WyLslRkYfRahpp_S.jpg,https://t.co/X8imMISmwR,https://twitter.com/black_lily61/status/1548044626610638848/video/1,,x213831700,TheFigen,en,,,,,,,,,,,,,,,,x1549832297553215488,"Now that's a love! <U+2764><U+FE0F><U+0001F923><U+0001F923>

https://t.co/X8imMISmwR",20/07/2022 19:03,Twitter Web App,24571,5357,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1550116300826890247,Oloye Babatunde,Africa,,,FALSE,524,610,0,5883,17203,21/08/2013 19:14,FALSE,,,,https://pbs.twimg.com/profile_banners/1688994438/1524261929,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1242878985610108929/qTte0mJu_normal.jpg
x2982554117,x1524751302009393155,12/05/2022 14:00,Amuchawona,The LANDSCAPE project supplied 3 laptops &amp; 2 tablets installed with Arc GIS to improve @forestrycom1’s capacity to… https://t.co/1wIvZu6AHr,Twitter Web App,,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,x3731160683 x3543243023,CesviZim forestrycom1,en,,,,,,,,,,,,,,,,x1524742996528443393,The LANDSCAPE project supplied 3 laptops &amp; 2 tablets installed with Arc GIS to improve @forestrycom1’s capacity to… https://t.co/1wIvZu6AHr,12/05/2022 13:27,Twitter Web App,15,6,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1524751302009393155,Anderson,Africa,"Forester, farmer,Researcher",,FALSE,168,368,1,56,2780,17/01/2015 13:59,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1402718048012881927/99JNLHnD_normal.jpg
x727738840732078082,x1549862747785011201,20/07/2022 21:04,_issa_M,Islam does not restrict women from interacting with the world or the society. It only advocate that the interaction… https://t.co/Lk7i26w14I,Twitter for Android,,,,,FALSE,TRUE,0,125,,,,,,,,,,,,,,,,x921710867846189058,susu__ia,en,,,,,,,,,,,,,,,,x1549676125554675712,Islam does not restrict women from interacting with the world or the society. It only advocate that the interaction… https://t.co/Lk7i26w14I,20/07/2022 08:42,Twitter for iPhone,344,125,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1549862747785011201,primo<U+26A1>,Africa,,,FALSE,167,335,1,2069,31560,04/05/2016 05:57,FALSE,,,,https://pbs.twimg.com/profile_banners/727738840732078082/1551881771,,http://pbs.twimg.com/profile_images/1249590212654759936/6stLA3Q1_normal.jpg
x395162207,x1543229913913761792,02/07/2022 13:47,Bramu_salvator,"Date: 9, July 2022
Time: 10:00 WAT
Venue: Google Meet
Register here
https://t.co/Jx2143ncAG

#gischat #Python",Twitter Web App,,,,,FALSE,TRUE,0,9,,,gischat Python,,forms.gle/faydSSVw16z4Re…,https://t.co/Jx2143ncAG,https://forms.gle/faydSSVw16z4Rerx5,,,,,,,,,x1373426119697911808,TheGeoSpatialH1,en,,,,,,,,,,,,,,,,x1543185785779900417,"Date: 9, July 2022
Time: 10:00 WAT
Venue: Google Meet
Register here
https://t.co/Jx2143ncAG

#gischat #Python",02/07/2022 10:52,Twitter for Android,9,9,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1543229913913761792,Bram,Africa,Simple and Kind,,FALSE,445,1843,32,1092,2184,21/10/2011 07:11,FALSE,,,,https://pbs.twimg.com/profile_banners/395162207/1484835243,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1620706008/ocova_normal.JPG
x919878889983434753,x1287659612519489536,27/07/2020 08:02,UcheBrand,Debunking well-known Tech myths- Separating fact from fiction - https://t.co/yX2n9DNHnt,Mailchimp,,,,,FALSE,FALSE,0,0,,,,,eepurl.com/g_mdff,https://t.co/yX2n9DNHnt,http://eepurl.com/g_mdff,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1287659612519489536,Kalu Uche,Africa,I try to shake up people's lives (as I have done mine) through critical thinking.,https://t.co/sWHt1YjjAX,FALSE,18,44,0,206,0,16/10/2017 10:53,FALSE,https://t.co/sWHt1YjjAX,https://www.thebitdefender.com,,https://pbs.twimg.com/profile_banners/919878889983434753/1657907351,,http://pbs.twimg.com/profile_images/1548001728343130117/XRNwZbiM_normal.jpg
x919104696819822592,x1546955312325853191,12/07/2022 20:31,Ropvictor4,Hubble vs James Webb at the same region in space  https://t.co/b0G0o2mcZh,Twitter Web App,,,,,FALSE,TRUE,0,2370,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1546645648040022016/pu/img/ZMEkX_oyVNgU9P4s.jpg,https://t.co/b0G0o2mcZh,https://twitter.com/TheGM2K/status/1546646001133400066/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1546645648040022016/pu/img/ZMEkX_oyVNgU9P4s.jpg,https://t.co/b0G0o2mcZh,https://twitter.com/TheGM2K/status/1546646001133400066/video/1,,x1202350328760418304,latestinspace,en,,,,,,,,,,,,,,,,x1546827106012860416,Hubble vs James Webb at the same region in space  https://t.co/b0G0o2mcZh,12/07/2022 12:01,Twitter for iPhone,16009,2370,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1546955312325853191,Rop victor,Africa,"Graduate Bachelor of science in mathematics and computer science,Full stack web developer, proficient on python,c and c++. Interested on AI",,FALSE,38,378,0,1218,590,14/10/2017 07:36,FALSE,,,,,,http://pbs.twimg.com/profile_images/1431694993320779777/xxT95AnX_normal.jpg
x1030894126282297345,x1036538674748567552,03/09/2018 08:57,holluwerthosyn,"One game in our new away kit <U+2705>
One win in our new away kit <U+2705>

#MUFC https://t.co/PILs8X3NYV",Twitter for Android,,,,,FALSE,TRUE,0,723,,,MUFC,,,,,http://pbs.twimg.com/media/DmKEl5vX0AACaAQ.jpg,https://t.co/PILs8X3NYV,https://twitter.com/ManUtd/status/1036536657506435073/photo/1,photo,http://pbs.twimg.com/media/DmKEl5vX0AACaAQ.jpg,https://t.co/PILs8X3NYV,https://twitter.com/ManUtd/status/1036536657506435073/photo/1,,x558797310,ManUtd,en,,,,,,,,,,,,,,,,x1036536657506435073,"One game in our new away kit <U+2705>
One win in our new away kit <U+2705>

#MUFC https://t.co/PILs8X3NYV",03/09/2018 08:49,Brandwatch,6710,723,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/NA/status/1036538674748567552,A. Holluwerthosyn,Africa,,,FALSE,55,867,0,13,99,18/08/2018 19:08,FALSE,,,,,,http://pbs.twimg.com/profile_images/1534814864140550144/aTHqH2rF_normal.jpg
